Plant,Event Date,Description,Result,ASP Report
Hatch 2,8/18/2016,EDG fails during surveillance test,1.00E-05,https://www.nrc.gov/docs/ML1710/ML17102A999.pdf
Hope Creek,8/6/2016,Moisture in oil system results in failure of HPCI pump during testing,1.00E-06,https://www.nrc.gov/docs/ML1703/ML17033B541.pdf
Dresden 3,6/27/2016,HPCI pump failure during testing,7.00E-06,https://www.nrc.gov/docs/ML1705/ML17058A419.pdf
Diablo Canyon 2,5/16/2016,Containment sump isolation valve fails to open during testing,8.00E-06,https://www.nrc.gov/docs/ML1636/ML16363A429.pdf
Catawba 1,3/28/2016,Mispositioned breaker with concurrent EDG unavailability results in potential loss of recirculation capability,1.00E-06,https://www.nrc.gov/docs/ML1703/ML17038A307.pdf
Monticello,3/22/2016,HPCI pump loss of safety function due to excessive oil leakage,4.00E-06,https://www.nrc.gov/docs/ML1634/ML16347A616.pdf
Perry,2/11/2016,Loss of safety-related electrical bus results in a loss of SDC,2.00E-06,https://www.nrc.gov/docs/ML1822/ML18228A845.pdf
Brunswick 1,2/7/2016,Electrical bus fault results in lockout of startup auxiliary transformer and LOOP,3.00E-05,https://www.nrc.gov/docs/ML1710/ML17109A269.pdf
Oyster Creek,1/4/2016,Failure of the EDG during surveillance testing due to a cooling water system leak,8.00E-06,https://www.nrc.gov/docs/ML1618/ML16188A014.pdf
Oyster Creek,11/19/2015,Failure of the EDG to start during surveillance testing,5.00E-06,https://www.nrc.gov/docs/ML1621/ML16216A097.pdf
Waterford,8/26/2015,Both EDGs declared inoperable,6.00E-06,https://www.nrc.gov/docs/ML1630/ML16308A447.pdf
Waterford,6/3/2015,"Manual reactor trip due to low SG levels, AFW system flow oscillations, and failure of ABT",4.00E-06,https://www.nrc.gov/docs/ML1630/ML16306A336.pdf
Dresden 2,2/7/2015,EMRV failed to actuate during extent of condition testing,3.00E-06,https://www.nrc.gov/docs/ML1526/ML15260A508.pdf
Pilgrim,1/27/2015,LOOP due to Winter Storm Juno,4.00E-05,https://www.nrc.gov/docs/ML1615/ML16153A372.pdf
D.C. Cook 1,11/1/2014,TDAFW pump failed to run following a loss of CHS caused by storm-induced debris damage of the CW pumps,1.00E-06,https://www.nrc.gov/docs/ML1616/ML16165A510.pdf
Dresden 3,11/6/2014,EMRV failed to actuate during surveillance testing,3.00E-06,https://www.nrc.gov/docs/ML1508/ML15085A273.pdf
River Bend,12/25/2014,Plant simulator failed to demonstrate expected plant response resulting in complicated reactor scram,5.00E-06,https://www.nrc.gov/docs/ML1525/ML15253A352.pdf
Farley 2,10/14/2014,Manual reactor trip due to loss of startup transformer,6.00E-06,https://www.nrc.gov/docs/ML1610/ML16103A572.pdf
Duane Arnold,10/9/2014,Degraded primary containment suppression pool coating,5.00E-06,https://www.nrc.gov/docs/ML1510/ML15106A595.pdf
Wolf Creek,10/6/2014,Power potential transformer overloading results in EDG inoperability,2.00E-06,https://www.nrc.gov/docs/ML1710/ML17108A730.pdf
Clinton,9/16/2014,Damaged bushing results in failure of division 3 SW pump and HPCS unavailability,7.00E-06,https://www.nrc.gov/docs/ML1522/ML15223B382.pdf
Oyster Creek,9/12/2014,EDG rendered inoperable due to failure of cooling fan,5.00E-06,https://www.nrc.gov/docs/ML1511/ML15112A147.pdf
Millstone 3,5/25/2014,Dual unit LOOP,2.00E-05,https://www.nrc.gov/docs/ML1514/ML15149A510.pdf
Millstone 2,5/25/2014,Dual unit LOOP,1.00E-05,https://www.nrc.gov/docs/ML1514/ML15149A510.pdf
ANO 1,3/5/2014,Inadequate external flood protection for safety-related equipment located below the design basis flood elevation,6.00E-05,https://www.nrc.gov/docs/ML1502/ML15023A076.pdf
ANO 2,3/5/2014,Inadequate external flood protection for safety-related equipment located below the design basis flood elevation,3.00E-05,https://www.nrc.gov/docs/ML1502/ML15023A076.pdf
Millstone 3,2/3/2014,TDAFW pump operability impacted by incorrect bearing,5.00E-06,https://www.nrc.gov/docs/ML1429/ML14294A220.pdf
Shearon Harris,1/18/2014,Manual reactor trip due to indications of a fire,6.00E-06,https://www.nrc.gov/docs/ML1523/ML15238B708.pdf
Calvert Cliffs 2,1/21/2014,Reactor trip due to inadequate protection against weather-related water intrusion,5.00E-06,https://www.nrc.gov/docs/ML1523/ML15238B710.pdf
St. Lucie 1,1/9/2014,Auxiliary building flooding during heavy rain due to degraded conduits lacking internal flood barriers,5.00E-06,https://www.nrc.gov/docs/ML1432/ML14323A786.pdf
ANO 2,12/9/2013,Fire and explosion of the unit auxiliary transformer,2.00E-06,https://www.nrc.gov/docs/ML1523/ML15238B714.pdf
Oconee 1,11/11/2013,High cycle fatigue of HPI system weld results in reactor coolant leak and unit shutdown,5.00E-06,https://www.nrc.gov/docs/ML1422/ML14224A629.pdf
Pilgrim,10/14/2013,LOOP during line maintenance,3.00E-05,https://www.nrc.gov/docs/ML1429/ML14294A591.pdf
Ginna,10/4/2013,Unanalyzed condition for potential floodwater intrusion into battery rooms,5.00E-06,https://www.nrc.gov/docs/ML1410/ML14107A080.pdf
Fort Calhoun,10/1/2013,Harsh environment due to postulated HELBs could lead to the failure of equipment needed to safely shutdown the plant,4.00E-06,https://www.nrc.gov/docs/ML1432/ML14329B361.pdf
Duane Arnold,8/22/2013,RCIC pump turbine trip,2.00E-06,https://www.nrc.gov/docs/ML1404/ML14042A065.pdf
Fort Calhoun,7/8/2013,Failure to fully incorporate applicable tornado missile protection for components needed to ensure the capability to safely shutdown the reactor,3.00E-06,https://www.nrc.gov/docs/ML1411/ML14115A411.pdf
Waterford,5/22/2013,EDG inoperable due to room exhaust fan fire,4.00E-06,https://www.nrc.gov/docs/ML1408/ML14086A768.pdf
LaSalle 2,4/25/2013,Manual reactor scram following trip of CW pumps,2.00E-06,https://www.nrc.gov/docs/ML1403/ML14034A373.pdf
LaSalle 1,4/17/2013,LOOP due to lightning strike,1.00E-05,https://www.nrc.gov/docs/ML1507/ML15071A343.pdf
LaSalle 2,4/17/2013,LOOP due to lightning strike,1.00E-05,https://www.nrc.gov/docs/ML1507/ML15071A343.pdf
ANO 1,3/31/2013,Stator drop results in LOOP,6.00E-05,https://www.nrc.gov/docs/ML1417/ML14174A832.pdf
ANO 2,3/31/2013,Stator drop results in partial LOOP,3.00E-05,https://www.nrc.gov/docs/ML1417/ML14174A832.pdf
Point Beach 1,3/13/2013,Flooding procedure failed to protect safety-related equipment,5.00E-06,https://www.nrc.gov/docs/ML1322/ML13221A187.pdf
Point Beach 2,3/13/2013,Flooding procedure failed to protect safety-related equipment,5.00E-06,https://www.nrc.gov/docs/ML1322/ML13221A187.pdf
Duane Arnold,3/8/2013,EDG failure caused by incorrect installation of lube oil heat exchanger gasket,5.00E-06,https://www.nrc.gov/docs/ML1335/ML13353A487.pdf
Monticello,2/15/2013,Failure to maintain site external flood plan,4.00E-05,https://www.nrc.gov/docs/ML1324/ML13240A435.pdf
Pilgrim,2/8/2013,LOOP events due to Winter Storm Nemo,8.00E-05,https://www.nrc.gov/docs/ML1427/ML14273A261.pdf
Browns Ferry 2,12/22/2012,Unplanned automatic reactor scram due to loss of power to the RPS,4.00E-06,https://www.nrc.gov/docs/ML1323/ML13235A058.pdf
Sequoyah 1,12/12/2012,Inadequate electrical conduit seals for the ERCW pumping station could result in loss of EDGs during a flooding event,5.00E-06,https://www.nrc.gov/docs/ML1315/ML13155A560.pdf
Sequoyah 2,12/12/2012,Inadequate electrical conduit seals for the ERCW pumping station could result in loss of EDGs during a flooding event,5.00E-06,https://www.nrc.gov/docs/ML1315/ML13155A560.pdf
Dresden 2,11/21/2012,Failure to establish procedure to address external flooding,5.00E-06,https://www.nrc.gov/docs/ML1321/ML13213A073.pdf
Oyster Creek,10/22/2012,Two EMRVs inoperable due to steam-induced plant vibration,5.00E-05,https://www.nrc.gov/docs/ML1511/ML15112A147.pdf
Dresden 3,11/21/2012,Failure to establish procedure to address external flooding,5.00E-06,https://www.nrc.gov/docs/ML1321/ML13213A073.pdf
Robinson,10/2/2012,Failure of dedicated shutdown EDG,3.00E-06,https://www.nrc.gov/docs/ML1326/ML13262A069.pdf
Three Mile Island 1,9/1/2012,Electrical cable couplings located in air intake tunnel were not flood sealed,4.00E-06,https://www.nrc.gov/docs/ML1312/ML13120A040.pdf
Watts Bar 1,7/1/2012,Inadequate flood mitigation strategy for certain flooding events,1.00E-05,https://www.nrc.gov/docs/ML1315/ML13155A572.pdf
Oyster Creek,7/23/2012,Fault on 230kV transmission line leads to LOOP,6.00E-05,https://www.nrc.gov/docs/ML1319/ML13199A503.pdf
River Bend,5/24/2012,"Losses of SW, CW, and feedwater due to electrical fault",2.00E-04,https://www.nrc.gov/docs/ML1332/ML13322A833.pdf
Browns Ferry 3,5/22/2012,Station system transformer differential relay failure results in LOOP,2.00E-05,https://www.nrc.gov/docs/ML1311/ML13115A955.pdf
Point Beach 1,5/21/2012,Inadequate maintenance leads to failure of TDAFW pump,5.00E-06,https://www.nrc.gov/docs/ML1300/ML13004A280.pdf
Catawba 1,4/4/2012,Reactor trip due to faulted RCP cable and an error in protective relay actuation causes a LOOP,9.00E-06,https://www.nrc.gov/docs/ML1306/ML13060A208.pdf
Byron 2,1/30/2012,Transformer and breaker failures cause LOOP and de-energized safety buses,1.00E-04,https://www.nrc.gov/docs/ML1305/ML13059A525.pdf
Wolf Creek,1/13/2012,Multiple switchyard faults causes LOOP,5.00E-04,https://www.nrc.gov/docs/ML1311/ML13115A190.pdf
Palisades,9/25/2011,Inadequate work instructions led to the loss of a 125V DC train and subsequent reactor trip,2.00E-05,https://www.nrc.gov/docs/ML1204/ML120450037.pdf
North Anna 1,8/23/2011,Dual unit LOOP caused by earthquake with the Unit 1 TDAFW pump inoperable due to testing and subsequent failure of a Unit 2 EDG,3.00E-04,https://www.nrc.gov/docs/ML1227/ML12278A188.pdf
North Anna 2,8/23/2011,Dual unit LOOP caused by earthquake with the Unit 1 TDAFW pump inoperable due to testing and subsequent failure of a Unit 2 EDG,6.00E-05,https://www.nrc.gov/docs/ML1227/ML12278A188.pdf
Palisades,8/9/2011,Failure of a SW pump because of coupling failure,5.00E-06,https://www.nrc.gov/docs/ML1204/ML120450037.pdf
Fort Calhoun,6/7/2011,Fire in safety-related 480V electrical breaker caused by deficient design controls during breaker modifications,4.00E-04,https://www.nrc.gov/docs/ML1210/ML12101A193.pdf
Oconee 1,6/2/2011,Failure to maintain design control of the SSF pressurizer heater breakers,5.00E-05,https://www.nrc.gov/docs/ML1134/ML11340A139.pdf
Oconee 2,6/2/2011,Failure to maintain design control of the SSF pressurizer heater breakers,5.00E-05,https://www.nrc.gov/docs/ML1134/ML11340A139.pdf
Oconee 3,6/2/2011,Failure to maintain design control of the SSF pressurizer heater breakers,5.00E-05,https://www.nrc.gov/docs/ML1134/ML11340A139.pdf
Limerick 2,5/23/2011,RCIC inoperable because of feedwater valve failures diverting flow to the main condenser,3.00E-06,https://www.nrc.gov/docs/ML1134/ML113410132.pdf
Palisades,5/10/2011,TDAFW pump unavailable due to greasing of the wrong component in the pump,5.00E-06,https://www.nrc.gov/docs/ML1200/ML120030406.pdf
Pilgrim,5/10/2011,Failure to effectively implement reactivity control standards and procedures during reactor startup,3.00E-06,https://www.nrc.gov/docs/ML1132/ML113220300.pdf
Browns Ferry 2,4/27/2011,LOOP causes by high winds and tornados,1.00E-05,https://www.nrc.gov/docs/ML1218/ML12180A062.pdf
Browns Ferry 1,4/27/2011,LOOP causes by high winds and tornados,1.00E-05,https://www.nrc.gov/docs/ML1218/ML12180A062.pdf
Browns Ferry 3,4/27/2011,LOOP causes by high winds and tornados,1.00E-05,https://www.nrc.gov/docs/ML1218/ML12180A062.pdf
Brunswick 1,4/20/2011,Penetrations in exterior wall of EDG fuel oil structure could lead to failure of the EDGs during postulated flooding,5.00E-06,https://www.nrc.gov/docs/ML1136/ML113610594.pdf
Brunswick 2,4/20/2011,Penetrations in exterior wall of EDG fuel oil structure could lead to failure of the EDGs during postulated flooding,5.00E-06,https://www.nrc.gov/docs/ML1136/ML113610594.pdf
Surry 1,4/16/2011,Dual unit LOOP because of switchyard damage caused by a tornado,9.00E-05,https://www.nrc.gov/docs/ML1212/ML121210463.pdf
Surry 2,4/16/2011,Dual unit LOOP because of switchyard damage caused by a tornado,7.00E-05,https://www.nrc.gov/docs/ML1212/ML121210463.pdf
Millstone 2,2/12/2011,Inadequate procedures and operator errors caused unplanned reactivity additions during main turbine control valve testing,5.00E-06,https://www.nrc.gov/docs/ML1122/ML112200394.pdf
Byron 2,11/17/2010,Failure to ensure that a flange connection on the EDG lube oil cooler was correctly torqued following maintenance,3.00E-06,https://www.nrc.gov/docs/ML1107/ML110740619.pdf
Cooper,11/5/2010,Deficient emergency procedures could lead to operators failing to position valves necessary for core cooling during a postulated fire,2.00E-06,https://www.nrc.gov/docs/ML1116/ML111610581.pdf
Browns Ferry 1,10/23/2010,Failure to establish adequate design control and perform adequate maintenance causes valve failure results in RHR loop unavailability,1.00E-04,https://www.nrc.gov/docs/ML1112/ML111290482.pdf
Prairie Island 1,10/22/2010,Battery chargers potentially inoperable because of an under-voltage condition,2.00E-06,https://www.nrc.gov/docs/ML1122/ML112290087.pdf
Robinson,9/9/2010,Reactor trip with a loss of feedwater and pressurizer PORV opening on demand,3.00E-06,https://www.nrc.gov/docs/ML1125/ML112560288.pdf
Susquehanna 1,7/16/2010,Manual reactor scram due to leakage from the CW system and subsequent flooding of the condenser bay,4.00E-06,https://www.nrc.gov/docs/ML1124/ML112411361.pdf
Fort Calhoun,6/14/2010,Failure to identify the cause and prevent the failure of a trip contact assembly in the RPS,7.00E-06,https://www.nrc.gov/docs/ML1120/ML112000064.pdf
Robinson,3/28/2010,Fire causes loss of non-vital busses along with a subsequent partial LOOP and RCP seal cooling challenges,4.00E-04,https://www.nrc.gov/docs/ML1124/ML112411359.pdf
Oconee 3,2/23/2010,SSF letdown line orifice strainer blocked by valve gasket,2.00E-05,https://www.nrc.gov/docs/ML1022/ML102240588.pdf
Robinson,2/22/2010,EDG inoperable due to failed output breaker while another EDG was unavailable due to maintenance,3.00E-06,https://www.nrc.gov/docs/ML1124/ML112411358.pdf
Oconee 2,2/20/2010,SSF letdown line orifice strainer blocked by valve gasket,2.00E-05,https://www.nrc.gov/docs/ML1022/ML102240588.pdf
Fort Calhoun,12/30/2009,Failure to establish and maintain procedures to protect the intake structure and auxiliary building from external floods,3.00E-05,https://www.nrc.gov/docs/ML1028/ML102800342.pdf
Calvert Cliffs 2,2/18/2010,Failure of EDG to start during partial LOOP due to faulty relay,2.00E-05,https://www.nrc.gov/docs/ML1125/ML112560283.pdf
Oconee 1,10/9/2009,SSF letdown line orifice strainer blocked by valve gasket,2.00E-05,https://www.nrc.gov/docs/ML1022/ML102240588.pdf
Sequoyah 1,9/30/2009,Failure to establish an adequate procedure to implement flood mitigation strategy prior to installation of HESCO barriers,5.00E-06,https://www.nrc.gov/docs/ML1315/ML13155A560.pdf
Sequoyah 2,9/30/2009,Failure to establish an adequate procedure to implement flood mitigation strategy prior to installation of HESCO barriers,5.00E-06,https://www.nrc.gov/docs/ML1315/ML13155A560.pdf
Watts Bar 1,9/30/2009,Failure to establish an adequate procedure to implement flood mitigation strategy prior to installation of HESCO barriers,5.00E-06,https://www.nrc.gov/docs/ML1315/ML13155A572.pdf
Farley 2,8/15/2009,Potential CCF of SW pumps due to manufacturing error,9.00E-06,https://www.nrc.gov/docs/ML1027/ML102770132.pdf
Wolf Creek,8/19/2009,LOOP due to lightning strike,9.00E-06,https://www.nrc.gov/docs/ML1016/ML101600194.pdf
Braidwood 2,7/30/2009,LOOP coincident with a reactor trip due to loss of RCPs,4.00E-05,https://www.nrc.gov/docs/ML1027/ML102700473.pdf
Oyster Creek,7/12/2009,LOOP with unavailability of isolation condenser due to foreign material,5.00E-05,https://www.nrc.gov/docs/ML1016/ML101600186.pdf
Ginna,7/2/2009,Corrosion binding of the governor control valve results in the TDAFW pump failure,9.00E-06,https://www.nrc.gov/docs/ML0931/ML093160200.pdf
Braidwood 1,6/24/2009,Failure of containment sump suction valve to open,9.00E-06,https://www.nrc.gov/docs/ML1005/ML100560415.pdf
Robinson,4/20/2009,EDG unavailable for 26 days due to breaker failure,7.00E-06,https://www.nrc.gov/docs/ML1034/ML103410289.pdf
Sequoyah 1,3/26/2009,Loss of station transformer leads to partial LOOP and subsequent reactor trip,4.00E-06,https://www.nrc.gov/docs/ML1027/ML102770146.pdf
Sequoyah 2,3/26/2009,Loss of station transformer leads to partial LOOP and subsequent reactor trip,4.00E-06,https://www.nrc.gov/docs/ML1027/ML102770146.pdf
Browns Ferry 1,3/6/2009,Failure to protect cables of redundant safety systems from fire damage,2.00E-05,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Browns Ferry 2,3/6/2009,Failure to protect cables of redundant safety systems from fire damage,2.00E-05,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Browns Ferry 3,3/6/2009,Failure to protect cables of redundant safety systems from fire damage,1.00E-05,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Browns Ferry 1,2/27/2009,Inadequate procedure revision could lead to failure in operator response to a fire,5.00E-06,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Browns Ferry 2,2/27/2009,Inadequate procedure revision could lead to failure in operator response to a fire,5.00E-06,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Browns Ferry 3,2/27/2009,Inadequate procedure revision could lead to failure in operator response to a fire,5.00E-06,https://www.nrc.gov/docs/ML1010/ML101090503.pdf
Seabrook,2/25/2009,Inadequate design on the EDG cooling water flange results in leak and subsequent failure,2.00E-06,https://www.nrc.gov/docs/ML0931/ML093160351.pdf
Hatch 2,2/12/2009,Lack of preventive maintenance cause failures of EDG timer cards,6.00E-06,https://www.nrc.gov/docs/ML1013/ML101330476.pdf
Ginna,12/2/2008,Inadequate governor preventative maintenance results in TDAFW pump failure,9.00E-06,https://www.nrc.gov/docs/ML0915/ML091550004.pdf
Dresden 3,11/3/2008,"Failure to prevent inadvertent, uncontrolled control rod withdrawal by non-licensed operators",5.00E-06,https://www.nrc.gov/docs/ML0929/ML092990547.pdf
Duane Arnold,11/2/2008,EDG output breaker failure during surveillance test,6.00E-06,https://www.nrc.gov/docs/ML0916/ML091610042.pdf
St. Lucie 1,10/16/2008,Air intrusion into CCW system causes pump cavitation,2.00E-05,https://www.nrc.gov/docs/ML1010/ML101090509.pdf
Monticello,9/11/2008,Reactor trip with partial LOOP due to blown fuse,1.00E-05,https://www.nrc.gov/docs/ML0923/ML092380380.pdf
Waterford,9/2/2008,Loose inter-cell connecting bolts on station battery,6.00E-06,https://www.nrc.gov/docs/ML1001/ML100150660.pdf
Brunswick 1,8/19/2008,All four EDGs unable to be operated locally due to incorrect control relay wiring,5.00E-06,https://www.nrc.gov/docs/ML0925/ML092580351.pdf
Brunswick 2,8/19/2008,All four EDGs unable to be operated locally due to incorrect control relay wiring,5.00E-06,https://www.nrc.gov/docs/ML0925/ML092580351.pdf
Prairie Island 2,7/31/2008,Potential unavailability of the CCW system during a postulated HELB due to inadequate design,3.00E-06,https://www.nrc.gov/docs/ML0924/ML092450624.pdf
Prairie Island 1,7/31/2008,TDAFW pump inoperable due to mispositioned valve,1.00E-06,https://www.nrc.gov/docs/ML0902/ML090270979.pdf
Hatch 1,7/12/2008,Degraded coupling leads to EDG inoperability,5.00E-06,https://www.nrc.gov/docs/ML0915/ML091590406.pdf
Hatch 2,7/12/2008,Degraded coupling leads to EDG inoperability,5.00E-06,https://www.nrc.gov/docs/ML0915/ML091590406.pdf
Oconee 1,4/15/2008,Procedure error leads to loss of RCS inventory while shutdown,5.00E-06,https://www.nrc.gov/docs/ML0905/ML090510161.pdf
San Onofre 2,3/25/2008,Deficient electrical connections with potential to affect multiple safety systems,1.00E-06,https://www.nrc.gov/docs/ML0835/ML083540244.pdf
Farley 1,3/13/2008,EDG exhaust pipe failure,3.00E-06,https://www.nrc.gov/docs/ML0824/ML082480616.pdf
Cooper,1/15/2008,Failure to establish procedural controls for maintenance of electrical connections on essential equipment,3.00E-06,https://www.nrc.gov/docs/ML0821/ML082140518.pdf
Point Beach 1,1/15/2008,Concurrent loss of the station auxiliary transformer and a safety bus,7.00E-06,https://www.nrc.gov/docs/ML0914/ML091480413.pdf
Byron 1,10/19/2007,Corrosion of ESW system piping,3.00E-06,https://www.nrc.gov/docs/ML0809/ML080921002.pdf
Comanche Peak 1,11/21/2007,EDG failed to activate during testing,8.00E-06,https://www.nrc.gov/docs/ML0806/ML080600164.pdf
Byron 2,10/19/2007,Corrosion of ESW system piping,3.00E-06,https://www.nrc.gov/docs/ML0809/ML080921002.pdf
McGuire 1,8/7/2007,Potential inoperability of SW strainer backwash system during accident conditions,5.00E-06,https://www.nrc.gov/docs/ML0830/ML083020604.pdf
McGuire 2,8/7/2007,Potential inoperability of SW strainer backwash system during accident conditions,5.00E-06,https://www.nrc.gov/docs/ML0830/ML083020604.pdf
Cooper,6/14/2007,Inadequate post-fire procedure could have prevented achieving safe shutdown,8.00E-06,https://www.nrc.gov/docs/ML0816/ML081650090.pdf
Fort Calhoun,2/16/2007,EDG failure during test due to degraded field flash contacts,5.00E-06,https://www.nrc.gov/docs/ML0734/ML073410416.pdf
Cooper,1/18/2007,Inadequate procedures result in failure of EDG voltage regulator,1.00E-06,https://www.nrc.gov/docs/ML0722/ML072290167.pdf
Farley 2,1/5/2007,RHR containment sump suction valve inoperable,3.00E-05,https://www.nrc.gov/docs/ML0730/ML073040249.pdf
Brunswick 1,11/2/2006,EDG inoperable due to inadequate foreign material exclusion practices,3.00E-06,https://www.nrc.gov/docs/ML0711/ML071130028.pdf
Brunswick 2,11/1/2006,Loss of transformer results in manual reactor trip and LOOP,6.00E-06,https://www.nrc.gov/docs/ML0813/ML081350025.pdf
River Bend,10/19/2006,Automatic reactor scram due to inadvertent isolation of feedwater headers,3.00E-06,Report Unavailable
Fort Calhoun,10/10/2006,Faulty maintenance causes the inoperability of a CSS train,5.00E-06,https://www.nrc.gov/docs/ML0715/ML071500074.pdf
Surry 2,10/7/2006,Reactor trip and LOOP to three out of four safety-related buses due transformer failure,2.00E-06,https://www.nrc.gov/docs/ML0826/ML082610715.pdf
Palo Verde 3,9/22/2006,Inoperable EDG due to inadequate maintenance procedures and corrective actions,9.00E-06,https://www.nrc.gov/docs/ML0705/ML070530206.pdf
Kewaunee,8/17/2006,Degraded EDG due to fuel oil leak,6.00E-05,https://www.nrc.gov/docs/ML0709/ML070940146.pdf
Catawba 1,5/20/2006,Dual unit LOOP,9.00E-05,https://www.nrc.gov/docs/ML0627/ML062710061.pdf
Catawba 2,5/20/2006,Dual unit LOOP,6.00E-05,https://www.nrc.gov/docs/ML0627/ML062710061.pdf
Oconee 3,5/1/2006,Potentially degraded containment sump recirculation due to debris,5.00E-06,https://www.nrc.gov/docs/ML0704/ML070450021.pdf
Calvert Cliffs 1,3/24/2006,Degraded EDG due to inadequate feeder breaker,7.00E-06,https://www.nrc.gov/docs/ML0630/ML063000299.pdf
Turkey Point 3,3/8/2006,Loss of RHR while in mode 5 due to electrical complications,7.00E-06,https://www.nrc.gov/docs/ML0632/ML063260154.pdf
Millstone 2,2/23/2006,Reactor trip due to loss of instrument air,8.00E-06,https://www.nrc.gov/docs/ML0719/ML071930281.pdf
